Year,uba_km2,uba_km2_exposed,growth_pct,percent_uba_exposed,type
1985,151.35873752947336,3.351537941381818,NA,2.21%,River
1986,158.84105331418118,3.4746915665244567,3.67%,2.19%,River
1987,167.71764406925388,3.6828798375989176,5.99%,2.20%,River
1988,176.01365344865414,3.977568869190232,8.00%,2.26%,River
1989,181.73076727298417,4.116849754768217,3.50%,2.27%,River
1990,186.90835093002255,4.237071150740793,2.92%,2.27%,River
1991,192.48325163960453,4.441594135352676,4.83%,2.31%,River
1992,197.6798947862484,4.598468395951038,3.53%,2.33%,River
1993,202.2248499998458,4.801525265977889,4.42%,2.37%,River
1994,206.7720043853207,5.022908568317633,4.61%,2.43%,River
1995,210.3566545457225,5.185647287256121,3.24%,2.47%,River
1996,213.9391055342468,5.427556193786304,4.66%,2.54%,River
1997,216.92704705854084,5.631346121105671,3.75%,2.60%,River
1998,219.95530673392324,5.777957579608812,2.60%,2.63%,River
1999,223.40434129520963,6.023531772601575,4.25%,2.70%,River
2000,226.19289123593936,6.172342402982264,2.47%,2.73%,River
2001,230.37278391786396,6.3563397834037065,2.98%,2.76%,River
2002,234.84736563137983,6.53667187736257,2.84%,2.78%,River
2003,238.48259674496524,6.648829643117474,1.72%,2.79%,River
2004,240.94273701864796,6.7470593203145786,1.48%,2.80%,River
2005,243.2591980629976,6.824763393321244,1.15%,2.81%,River
2006,245.565396305252,6.928857528858474,1.53%,2.82%,River
2007,248.47856598570945,7.034417778980736,1.52%,2.83%,River
2008,251.68056023941807,7.114321023864949,1.14%,2.83%,River
2009,254.37601190399832,7.191292039579098,1.08%,2.83%,River
2010,256.64189199516437,7.28658948760614,1.33%,2.84%,River
2011,258.3469832575559,7.332772097034629,0.63%,2.84%,River
2012,260.195020691988,7.450061263837143,1.60%,2.86%,River
2013,262.22045799120895,7.505040560775821,0.74%,2.86%,River
2014,264.1425342121851,7.6149991546531774,1.47%,2.88%,River
2015,265.6453016618423,7.672177623469403,0.75%,2.89%,River
1985,151.35873752947336,29.78265168032819,NA,19.68%,Rainwater
1986,158.84105331418118,31.410038869713063,5.46%,19.77%,Rainwater
1987,167.71764406925388,33.22875401244453,5.79%,19.81%,Rainwater
1988,176.01365344865414,34.975629540509466,5.26%,19.87%,Rainwater
1989,181.73076727298417,36.07668159386806,3.15%,19.85%,Rainwater
1990,186.90835093002255,37.00913046994804,2.58%,19.80%,Rainwater
1991,192.48325163960453,38.23993366408192,3.33%,19.87%,Rainwater
1992,197.6798947862484,39.27867584757668,2.72%,19.87%,Rainwater
1993,202.2248499998458,40.27709987998307,2.54%,19.92%,Rainwater
1994,206.7720043853207,41.435330402157895,2.88%,20.04%,Rainwater
1995,210.3566545457225,42.235095908292536,1.93%,20.08%,Rainwater
1996,213.9391055342468,43.18880344585547,2.26%,20.19%,Rainwater
1997,216.92704705854084,44.074336655214445,2.05%,20.32%,Rainwater
1998,219.95530673392324,44.960602921865934,2.01%,20.44%,Rainwater
1999,223.40434129520963,45.93630217820434,2.17%,20.56%,Rainwater
2000,226.19289123593936,46.66862641342754,1.59%,20.63%,Rainwater
2001,230.37278391786396,47.94121387323481,2.73%,20.81%,Rainwater
2002,234.84736563137983,49.155156749640824,2.53%,20.93%,Rainwater
2003,238.48259674496524,50.08247422467319,1.89%,21.00%,Rainwater
2004,240.94273701864796,50.62566967842733,1.08%,21.01%,Rainwater
2005,243.2591980629976,51.11975029358292,0.98%,21.01%,Rainwater
2006,245.565396305252,51.73405230471108,1.20%,21.07%,Rainwater
2007,248.47856598570945,52.47737239932201,1.44%,21.12%,Rainwater
2008,251.68056023941807,53.22948918144312,1.43%,21.15%,Rainwater
2009,254.37601190399832,53.95374978644864,1.36%,21.21%,Rainwater
2010,256.64189199516437,54.567318740284286,1.14%,21.26%,Rainwater
2011,258.3469832575559,54.98369528243321,0.76%,21.28%,Rainwater
2012,260.195020691988,55.5386196528676,1.01%,21.34%,Rainwater
2013,262.22045799120895,56.0422300128259,0.91%,21.37%,Rainwater
2014,264.1425342121851,56.627209732253434,1.04%,21.44%,Rainwater
2015,265.6453016618423,56.92336487842978,0.52%,21.43%,Rainwater
1985,151.35873752947336,2.2739437213837266,NA,1.50%,Coastal
1986,158.84105331418118,2.5451749196145386,11.93%,1.60%,Coastal
1987,167.71764406925388,2.833266435573212,11.32%,1.69%,Coastal
1988,176.01365344865414,2.955687003423335,4.32%,1.68%,Coastal
1989,181.73076727298417,3.063446425423144,3.65%,1.69%,Coastal
1990,186.90835093002255,3.1396843838447777,2.49%,1.68%,Coastal
1991,192.48325163960453,3.23498183187182,3.04%,1.68%,Coastal
1992,197.6798947862484,3.317084248633579,2.54%,1.68%,Coastal
1993,202.2248499998458,3.3815932903749615,1.94%,1.67%,Coastal
1994,206.7720043853207,3.4636957071367207,2.43%,1.68%,Coastal
1995,210.3566545457225,3.53040392075565,1.93%,1.68%,Coastal
1996,213.9391055342468,3.600777420837158,1.99%,1.68%,Coastal
1997,216.92704705854084,3.665286462578541,1.79%,1.69%,Coastal
1998,219.95530673392324,3.7437235928777217,2.14%,1.70%,Coastal
1999,223.40434129520963,3.811164863789166,1.80%,1.71%,Coastal
2000,226.19289123593936,3.8639449888502977,1.38%,1.71%,Coastal
2001,230.37278391786396,3.942382119149478,2.03%,1.71%,Coastal
2002,234.84736563137983,4.03254816612891,2.29%,1.72%,Coastal
2003,238.48259674496524,4.176960452754504,3.58%,1.75%,Coastal
2004,240.94273701864796,4.2385372653258235,1.47%,1.76%,Coastal
2005,243.2591980629976,4.319906624795067,1.92%,1.78%,Coastal
2006,245.565396305252,4.385881781121481,1.53%,1.79%,Coastal
2007,248.47856598570945,4.469450312468272,1.91%,1.80%,Coastal
2008,251.68056023941807,4.6079981407537405,3.10%,1.83%,Coastal
2009,254.37601190399832,4.754609599256882,3.18%,1.87%,Coastal
2010,256.64189199516437,4.844042588943799,1.88%,1.89%,Coastal
2011,258.3469832575559,4.96499704220889,2.50%,1.92%,Coastal
2012,260.195020691988,5.050764745433228,1.73%,1.94%,Coastal
2013,262.22045799120895,5.168053912235742,2.32%,1.97%,Coastal
2014,264.1425342121851,5.225232381051967,1.11%,1.98%,Coastal
2015,265.6453016618423,5.311733141568821,1.66%,2.00%,Coastal
1985,151.35873752947336,32.76106345981951,NA,21.64%,Combined
1986,158.84105331418118,34.641355415122305,5.74%,21.81%,Combined
1987,167.71764406925388,36.74669595922742,6.08%,21.91%,Combined
1988,176.01365344865414,38.72814982089738,5.39%,22.00%,Combined
1989,181.73076727298417,39.97801250463666,3.23%,22.00%,Combined
1990,186.90835093002255,41.01895386000896,2.60%,21.95%,Combined
1991,192.48325163960453,42.41176271578881,3.40%,22.03%,Combined
1992,197.6798947862484,43.57512463901124,2.74%,22.04%,Combined
1993,202.2248499998458,44.71063038511807,2.61%,22.11%,Combined
1994,206.7720043853207,46.004476506408295,2.89%,22.25%,Combined
1995,210.3566545457225,46.92373035122299,2.00%,22.31%,Combined
1996,213.9391055342468,48.01525265977888,2.33%,22.44%,Combined
1997,216.92704705854084,49.01514280677031,2.08%,22.60%,Combined
1998,219.95530673392324,50.03116021419708,2.07%,22.75%,Combined
1999,223.40434129520963,51.17326347593655,2.28%,22.91%,Combined
2000,226.19289123593936,52.02727522171735,1.67%,23.00%,Combined
2001,230.37278391786396,53.43621133793255,2.71%,23.20%,Combined
2002,234.84736563137983,54.78357064157642,2.52%,23.33%,Combined
2003,238.48259674496524,55.887554924105075,2.02%,23.43%,Combined
2004,240.94273701864796,56.53850979985902,1.16%,23.47%,Combined
2005,243.2591980629976,57.14034983701442,1.06%,23.49%,Combined
2006,245.565396305252,57.87780547328522,1.29%,23.57%,Combined
2007,248.47856598570945,58.7215544169708,1.46%,23.63%,Combined
2008,251.68056023941807,59.591693423186946,1.48%,23.68%,Combined
2009,254.37601190399832,60.43690848145756,1.42%,23.76%,Combined
2010,256.64189199516437,61.1435757114427,1.17%,23.82%,Combined
2011,258.3469832575559,61.66038110266628,0.85%,23.87%,Combined
2012,260.195020691988,62.301073176325005,1.04%,23.94%,Combined
2013,262.22045799120895,62.89631569784776,0.96%,23.99%,Combined
2014,264.1425342121851,63.53700777150649,1.02%,24.05%,Combined
2015,265.6453016618423,63.918197563614655,0.60%,24.06%,Combined
